動物醫院名稱,地址,電話,負責人
博愛動物醫院,中正區杭州南路2段92號1樓,33938850,林煜淳
來旺動物醫院,中正區重慶南路3段50號1樓,23051120,楊清容
中正犬貓醫院,中正區重慶南路3段60~4號2樓,23054880,陳守正
漢民動物醫院,中正區和平西路1段156號1樓,23074801,洪漢民
恩旺動物醫院,中正區羅斯福路2段7之4號1樓,23947349,關宇瑔
古亭動物醫院,中正區羅斯福路2段138號1樓,23693373,張哲誠
佑昇動物醫院,中正區羅斯福路3段38號1樓,23656729,吳茂常
台灣動物醫院,中正區忠孝東路2段74號1樓,23412128,謝庭智
寶寶新動物醫院,中正區汀州路2段125號1樓,23677624,林郁尊
金旺動物醫院,中正區青島東路33~2號1樓,23212580,張振東
恩孺動物診所,中正區金山南路1段92號1樓,23942821,連于欣
康廷動物醫院,中正區寧波西街88號1樓,23928187,廖建洋
全國動物醫院公館分院,中正區羅斯福路3段316巷9弄1號1樓,23658196,惠之巍
瀚生動物醫院,中正區新生南路1段144~1號1樓,23581765,邱煌裕
晨光動物醫院,大同區重慶北路2段47號1樓,25583347,戴振宏
大眾家畜醫院,大同區重慶北路3段51號1樓,25861518,姚枝煌
永新動物醫院,大同區重慶北路3段185號1樓,25982889,曾世明
正安動物醫院,大同區民權西路240號1樓,25571757,陳和顯
弘愛犬貓動物醫院,大同區民生西路105號1樓,25503892,葉昶輝
全民連鎖動物醫院總院,大同區民生西路247、249號1、2樓,25530371,張國彬
凡賽爾賽鴿寵物鳥醫院,大同區民族西路53號1樓,25869933,李照陽
皇家動物醫院,大同區民族西路228號1樓,25960967,廖文雄
慈愛動物醫院寧夏分院,大同區寧夏路1號1樓、3樓,25563320,陳俊達
傑翔動物醫院,大同區民權西路270之2號1樓,25573343,張傑翔
長沁動物醫院,大同區重慶北路3段17號,25992119,張婷婷
湖光動物醫院,大同區重慶北路3段138、140號,25858860,林雅哲
不萊梅特殊寵物專科醫院,大同區民權西路227號,25993907,蔣立勳
梁動物內科醫院,中山區長安東路1段41~1號1樓,25811563,梁朝雄
龍江獸醫院,中山區龍江路21巷1號1樓,27722223,陳碧誠
太僕動物醫院,中山區龍江路260號1樓,25170902,吳明?
美加璦動物醫院,中山區龍江路443巷1之2號1樓,25054989,林俊民
弘安動物醫院,中山區五常街69號1樓,25045630,洪文貴
大直動物醫院,中山區北安路468號1樓,85096306,吳伊婷
仁慈動物醫院,中山區北安路518巷6號1樓,25336983,朱浚源
惟新動物醫院,中山區明水路672巷34號1樓,85023725,林錦宏
諾亞動物醫院,中山區吉林路166號1樓,25642121,李家華
廣慈動物醫院,中山區錦州街371號1樓,25044236,張坤銘
興安動物醫院,中山區興安街89號1樓,25048179,謝其達
米亞動物醫院,中山區民權東路2段57號1樓,25923556,陳易成
和的獸醫院,中山區民權東路2段152巷22弄2號1樓,25081009,陳文彬
復生動物醫院,中山區民生東路1段78號1樓,25643940,林復旦
全民連鎖動物醫院民生東院,中山區民生東路2段108號1樓,25639515,簡聰琳
大晶動物醫院,中山區農安街72號1樓,25970625,陳忠民
吉林動物醫院,中山區吉林路121~1號1樓,25642010,陳進泉
東宏動物醫院,中山區吉林路432號1樓,25957366,陳俊宏
101台北貓醫院,中山區建國北路3段101號1樓,25091101,曾琪鈞
北安動物醫院,中山區北安路642號1樓,25335990,陳威達
華遠動物醫院,中山區長春路336號1樓,27131187,李明彥
恩典動物醫院,中山區民生東路2段45號1樓、2樓,25314545,朱淵源
成功動物醫院,中山區天祥路3號1樓,25218001,姜家麟
小小貓咪動物醫院,中山區北安路458巷47弄10號1樓,25337529,徐綺羚
黃動物醫院,中山區復興北路506號1樓,25045960,黃建源
伊甸動物醫院,中山區北安路554巷33號1樓,85092579,高茂仁
長宏動物醫院,中山區吉林路173號1樓,25678939,吳家慶
紀劃犬貓專科醫院,中山區民生東路1段83號,25212205,周國雄
文藝動物醫院,中山區民生東路1段87號地下1樓,25317261,張昱群
小王子動物醫院,中山區松江路26巷32號,25676897,林建良
吉米犬貓專科醫院,中山區林森北路649號,25855991,陳貞佑
德心動物醫院,中山區長春路229號1樓,25045355,林至凱
路米動物醫院,中山區民生東路3段28號1樓,25163328,許國軒
達文西犬貓專科醫院,中山區民生東路2段7號1樓,,紀炳欽
貝恩動物醫院,中山區民權東路3段8號-1,27407366,洪瑞隆
中山動物醫院,松山區民權東路3段140巷5號1樓及106巷3弄8號1樓,27196996,黃哲毅
隆記動物醫院,松山區民生東路5段212巷1號1樓,27607639,林永川
澤禾動物醫院,松山區健康路256號1樓,27616267,陳柏瑋
台欣動物醫院,松山區健康路187號1樓,25285119,邱銘助
健康動物醫院,松山區健康路238號1樓,27601818,邱辛庭
恩亞動物醫院,松山區健康路325巷14號1樓,27678889,蔡依津
三民動物醫院,松山區三民路101巷1號1樓,27534954,徐怡黌
良醫動物醫院,松山區八德路4段188號1樓,27615091,謝慕學
嘉慶動物醫院,松山區八德路4段214-1、218號1樓,87879121,黃泓康
全陽犬貓專科醫院,松山區八德路4段305號1樓,27627945,林逸莒
美國愛屋動物醫院,松山區八德路4段520號1樓,27457379,謝豐義
人人愛動物醫院,松山區延吉街46之3號1樓,25778182,駱有福
國泰動物醫院,松山區延吉街57號1樓,25795722,張紹沛
日健動物醫院,松山區光復北路6~2號1樓,25707508,闕浩然
豐盛動物醫院,松山區光復北路46號1樓,25785605,陳亮宏
台北動物醫院,松山區光復北路164號1樓,27176036,許泰裕
泰山動物醫院,松山區光復南路52號1樓,25792650,陳代煌
曼哈頓動物醫院,松山區市民大道4段77號1樓,27815203,譚大倫
復興動物醫院,松山區八德路2段381號1樓,27711414,魏珠玲
新亞動物醫院,松山區延壽街390號1樓,27457119,張大芃
南京太僕動物醫院,松山區南京東路5段286號,27562005,曾鴻章
澄諾動物醫院,松山區富錦街461號,27653160,林澄憶
敦品動物醫院,大安區大安路1段205號1樓,27070877,劉榮宗
康福動物醫院,大安區瑞安街135巷23號1樓,27074075,黃立文
富康動物醫院,大安區建國南路1段298號1樓,27020135,董學康
仁愛動物醫院,大安區仁愛路4段228之5號1樓,27029165,朱建光
中心動物醫院,大安區仁愛路4段411~1號1樓,27410443,杜興江
亞洲獸醫專科醫院,大安區信義路4段109號1樓,27081488,陳朝澧
敦化動物醫院,大安區敦化南路1段279號1樓,27080284,陳貞夙
澄毅動物醫院,大安區安和路2段171巷13號1樓,27334341,許祖誠
見安獸醫院,大安區四維路170巷45號1樓,27070989,歐正生
碩聯動物醫院,大安區辛亥路2段143號1樓,27366549,邱榮鐸
上群動物醫院,大安區延吉街72之20號1樓,27753007,洪文男
戴瑩乾動物醫院,大安區延吉街91號1樓,27310809,戴瑩乾
幸福動物醫院,大安區延吉街251號1樓,27005277,陳宗德
五洲動物醫院,大安區新生南路1段137~2號1樓,27079477,陳震寰
萬國家畜醫院,大安區新生南路2段80~3號1樓,23965136,張博麟
弘吉獸醫院,大安區市民大道3段238號1樓,27410958,林政興
佑仁動物醫院,大安區和平東路1段200號1樓,23635377,許右憲
專心動物醫院,大安區和平東路2段34、34~1號1樓,23633016,洪榮偉
遠見動物眼科醫院,大安區和平東路2段68號1樓,23775388,張雅斐
常明動物眼科醫院,大安區和平東路2段201號1樓,27030809,駱虹霏
宏成動物醫院,大安區和平東路3段66-1號1樓,23780228,羅勝騰
曾安動物醫院,大安區通化街148號1樓,27383248,曾章原
沐恩動物醫院,大安區基隆路2段220號1至4樓,23782300,林文傑
安庭動物醫院,大安區金山南路2段139號1樓及地下1樓,23923655,陳宏盈
聖地牙哥動物醫院,大安區羅斯福路3段65號3樓之1,23643458,李安琪
名人維東尼動物醫院,大安區建國南路1段358號,27090123,蔡坤龍
愛狗園動物醫院,大安區基隆路2段124號,27392966,謝筱薇
王樣動物醫院,大安區金華街217號1樓,23570217,王禎祥
麟安動物醫院,大安區和平東路3段324號,27383008,江佳淵
極光動物醫院,大安區建國南路2段31號,27848211,蔡仙瑩
明誠動物醫院,大安區瑞安街45號1樓,27086310,向才園
寵樂動物醫院,大安區文昌街89號1樓,27087967,彭志樺
國立台灣大學生物資源暨農學院附設動物醫院,大安區基隆路3段153號,27396828,季昭華
貓醫生的貓診所,大安區忠孝東路3段194號2樓之1,27715810,謝富閔
杜克動物醫院,大安區基隆路2段223號1樓,87324789,梁赫烜
雙園動物醫院,萬華區西園路2段105號1樓,23084409,王舒德
大東動物醫院,萬華區東園街158號1樓,23098379,楊文翔
保全獸醫院,萬華區西藏路324、326號1樓,23024375,鄧賢銓
環南動物醫院,萬華區和平西路3段205號1樓,23020109,劉正彥
萬華動物醫院,萬華區昆明街165號1樓,23614831,白順吉
康寧動物醫院,萬華區長沙街2段157號1樓,23831528,王聲文
華中動物醫院,萬華區萬大路227號1樓,23328572,劉懿澍
古德動物醫院,萬華區西園路2段194號1樓,23088289,詹昇諭
長青動物醫院,萬華區廣州街78號1樓,23369908,林長青
艋舺動物醫院,萬華區萬大路365號1樓,23010365,劉均凱
志誠動物醫院,萬華區萬大路536號1樓,23056634,林傳基
翊心動物醫院,萬華區西園路2段175號1樓,23055518,朱榮芳
展望動物醫院,萬華區中華路2段2號,,羅賓遜
安安動物醫院,信義區松德路57號1樓,27281315,林明輝
大愛動物醫院,信義區松德路74號1樓,87805116,黃國倫
欣旺動物醫院,信義區松山路265號1樓,27618013,張明祥
恩加動物醫院,信義區松山路315~2號1樓,87877551,張恩愷
新東動物醫院,信義區忠孝東路5段189號1樓,27656189,莊惠珠
崇安動物醫院,信義區中坡南路62號1樓,27276027,曹國卿
陽光動物醫院,信義區林口街222號1樓,27279922,廖和順
欣欣動物醫院,信義區松隆路286-1號1樓,27681119,胡誌文
名冠動物醫院,信義區中坡南路207號1樓,27590447,陳志平
立健動物醫院,信義區和平東路3段255號1樓,27339102,劉評乾
文逸動物醫院,信義區和平東路3段391巷8弄27號1樓,27322254,傅義文
安興動物醫院,信義區吳興街478號1樓,87803433,吳致銓
豐德動物醫院,信義區莊敬路235號1樓,27588292,陳彥宏
詠欣動物醫院,信義區莊敬路428號1樓,27202631,邱顯閔
玉山動物醫院,信義區信義路6段37號1樓,23466659,蘇惠麗
華欣家畜醫院,信義區光復南路473巷13弄7號1樓,27054895,黃慶榮
永春動物醫院,信義區忠孝東路5段424號1樓,87898849,張逸紳
星辰動物醫院,信義區松隆路225號1樓,27611199,吳哲瑋
艾爾瑪動物醫院,信義區仁愛路4段452巷8號1樓,87894859,林欣怡
松山動物醫院,信義區松山路275號1樓,27673322,陳炳旭
愛心動物醫院,信義區光復南路563號1樓,23451633,許志全
沐樂動物醫院,信義區忠孝東路4段559巷30號1樓,27699899,師維孝
臺北市流浪貓保護協會附設貓醫院,信義區信義路6段81號1樓,27261872,劉秀信
陽明家畜醫院,士林區天母東路1之6號1樓,28726911,楊東盛
福臨動物醫院,士林區中山北路5段519號1樓,28836500,江仁中
天母家畜醫院,士林區中山北路6段431之3號1樓,28315677,郭詩淵
楊動物醫院,士林區中山北路6段368號1樓,28717261,楊靜宇
微笑動物醫院,士林區中山北路7段163號1樓,28730728,張景倫
士林獸醫院,士林區中正路379號1樓,28822193,彭家渝
台愛動物醫院,士林區中正路629號1樓,88115729,范振喬
阿牛犬貓急診醫院,士林區基河路238號1樓,28827381,邱張祺
忠誠獸醫院,士林區文林路734號1樓,28351390,張新裕
藍天家畜醫院,士林區文林路757號1樓,28380088,周金豐
社子動物醫院,士林區延平北路5段191號1樓,28165355,李韋達
昌展動物醫院,士林區延平北路6段160號1樓,28169197,康文玄
中興動物醫院,士林區延平北路6段245號1樓,28113970,洪財旺
信達犬貓專科醫院,士林區華齡街22巷15弄5號1樓,28812150,謝德和
厚德動物醫院,士林區華齡街54號1樓,28831716,李厚德
唯安動物醫院,士林區承德路4段18號1,28851695,蔡有志
汎亞動物醫院,士林區承德路4段183號1樓,28826655,張詠舜
溫莎動物醫院,士林區德行東路83號1樓,28345969,王志宏
劉動物醫院,士林區德行東路269號1樓,28365679,劉信良
芝山動物醫院,士林區文林路762-2號1樓,28328385,曾治鈞
劍橋動物醫院,士林區忠誠路1段102號1樓,88665889,翁浚岳
世東動物醫院,士林區士東路39號1樓,28712529,簡齊韋
常源動物醫院,士林區德行東路189號1樓,28370616,黃嬿蓉
尼古拉動物醫院,士林區克強路23號1樓,28323386,李國閔
百科家畜醫院,北投區西安街1段359號1樓,28214942,吳文杰
聯合家畜醫院,北投區裕民一路 40巷29號1樓,28282117,夏清江
中英動物醫院,北投區中央北路1段149號1樓,28936119,吳大中
北投動物醫院,北投區中央北路2段60~1號1樓,28928665,劉得煌
大同動物醫院,北投區中央北路2段112號1樓,28959607,林隆立
旺旺動物醫院,北投區東華街2段2號1樓,28203693,李志正
大葉動物醫院,北投區大業路394號1樓,28935372,黃仁佑
百威動物醫院,北投區中和街288號1樓,28910951,林基宏
和欣動物醫院,北投區雙全街7號1樓,28973439,曾文星
全民動物醫院北投分院,北投區光明路61號1樓,28939752,吳斌羽
豐茂動物醫院,北投區實踐街64號1樓,28210824,蘇世武
丹堤動物醫院,北投區知行路208~2號1樓,55865668,高將員
明德動物醫院,北投區明德路115號1樓,28239018,葉俊沐
劍橋動物醫院石牌芸林分院,北投區石牌路2段332~1號1樓,28721398,陳姷丹
加生動物醫院,北投區石牌路1段95號1樓,28207218,廖柏松
杜瑪動物醫院,北投區大業路541號1樓,28977779,鍾昇樺
禾亞動物醫院,北投區崇仁路1段88號1樓,25336785,曾奎元
內湖動物醫院,內湖區內湖路1段45號1樓,27992011,陳鶴松
西湖動物醫院,內湖區內湖路1段341之2號1樓,27990700,賀淑玲
德安動物醫院,內湖區內湖路1段611號1樓,26582478,黃國倫
佳欣動物醫院,內湖區內湖路2段383號1樓,27946126,葉泰昌
加洲動物醫院,內湖區文德路9號1樓,27987942,蔡俊佑
港墘動物醫院,內湖區港墘路109~2號1樓,26575990,伍茂霖
長慶動物醫院,內湖區東湖路7巷7號1樓,26331257,范長慶
東湖動物醫院,內湖區東湖路43巷5號1樓,26332220,甘家銘
全安動物醫院,內湖區東湖路113巷54號1樓,26336495,林明進
勝利動物醫院,內湖區康樂街116之2號1樓,26327815,詹勝利
康泰動物醫院,內湖區康樂街164-1號1樓,26313068,周政德
佳恩動物醫院,內湖區成功路3段117號1樓,27941290,楊佳麟
健生動物醫院,內湖區成功路4段182巷8弄4號1樓,27910198,蔡良正
亞馬森動物醫院,內湖區成功路4段311號1樓,87923248,劉尹晟
大湖動物醫院,內湖區成功路5段10號1樓,27968241,黃國安
宇痚坁威撠|,內湖區民權東路6段57號1樓,27951676,謝祖揚
全國動物醫院台北分院,內湖區舊宗路1段30巷13號1樓,87918706,李效唐
納嘉動物醫院,內湖區內湖區成功路5段55號1樓,26330555,楊世鴻
維康動物醫院,內湖區成功路3段150號1樓,27937293,林念儀
佳康動物醫院,內湖區康寧路3段169-1號1樓,26318345,文皓群
角落動物醫院,內湖區金湖路22號1樓,27926858,黃俊運
樂沛動物醫院,內湖區成功路4段368號1樓,27909218,蔡金龍
興沛動物醫院,內湖區內湖路1段91巷32號,27977553,許傳忠
核心動物醫院,內湖區舊宗路1段50號,87978599,江世明
洪生動物醫院,南港區忠孝東路7段571號1樓,27833715,廖陳胤
?正動物醫院,南港區南港路1段289~1號1樓,26517616,謝崎正
中研動物醫院,南港區研究院路1段72號1樓,26512100,楊孝柏
維恩動物醫院,南港區東新街132號1樓,26515527,蔡岳群
北新獸醫院,文山區羅斯福路5段172號4樓,29310690,謝建和
正吉動物醫院,文山區羅斯福路5段47~1號1樓,29347505,彭昶貴
景美動物醫院,文山區羅斯福路6段6號1樓,29310850,張聰錦
品安動物醫院,文山區羅斯福路6段89號1樓,29359188,陳厚安
加恩動物醫院,文山區木柵路1段102號1樓,22360117,劉黃頌欽
達仁動物醫院,文山區木柵路2段133號1樓,29371558,蔡依達
木新獸醫院,文山區木新路3段133~2號1樓,29362748,廖炯華
維拉動物醫院,文山區興隆路1段94號1樓,29333872,賴哲銳
靜心獸醫院,文山區興隆路2段21、23號1樓,29330562,侯省地
正興獸醫院,文山區興隆路2段95巷5之1號1樓,29330607,陳正哲
路加動物醫院,文山區興隆路2段224之4號1樓,55852108,金信權
世安動物醫院,文山區興隆路3段298~2號1樓,22306841,張世賢
再興動物醫院,文山區興隆路1段1號1樓,29342899,莊秀美
自強動物醫院,文山區興隆路4段108號1樓,29372852,林士超
康禾動物醫院,文山區興隆路4段159之1號1樓,29374998,蕭欽瑀
亞太動物醫院,文山區景福街244號1樓及地下1樓,29300005,葉力森
安心動物醫院,文山區羅斯福路5段17號1樓,29326935,王仁潔
大群動物醫院,文山區羅斯福路6段206號1樓,29305557,陳泰良
締爾動物醫院,文山區木新路3段321號1樓,29388211,尤思菁
景文動物醫院,文山區景文街29號1樓,89319955,張元炫
景興動物醫院,文山區景華街92號1樓,29330600,朱育龍
